name,brand,collection,price_category,gender,movement,case_material,case_material_category,water_resistance,water_resistance_category,brand_country,brand_age,collection_price_tier,warrenty,power_reserve,dial,bracelet,PRODUCT_PRICE_DETAIL,reference,brand_founded_year,is_price_outlier,collection_popularity,water_resistance_standardized,price_category_improved,case_diameter_numeric,case_size_category,brand_prestige_level
Luminor Marina,Panerai,Luminor,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Mavi,Paslanmaz Atelik,473.800₺,PAM03323,1860,FALSE,37,Yazme (50m),Laks,44,Bayak (40-44mm),Atok Prestijli
Ultra-Chron Classic,Longines,Diving,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,52 Saat,Gamaay,Paslanmaz Atelik,183.000₺,L2.937.4.72.6,1832,FALSE,49,Yazme (50m),Premium,40,Orta (36-40mm),Orta Prestij
Bvlgari Bvlgari,Bvlgari,Bvlgari Bvlgari,Ultra-Luxury,Women,Pilli,Altan,Gold,30m,Splash Resistant,Italy,140,Luxury Collection,5 Yıl,,Mavi,Krokodil,557.000₺,104191,1884,FALSE,14,Ganlak Kullanam (30m),Laks,26,Kaaak (<36mm),Atok Prestijli
Specialities Paris 2024 Bronze Gold Edition,Omega,Diayer Koleksiyonlar,Ultra-Luxury,Erkek,Elle Kurmala,Altan,Gold,30m,Splash Resistant,Switzerland,176,Ultra-Luxury Collection,5 Yıl,72 Saat,Gamaay,Deri,611.100₺,522.92.39.21.99.001,1848,FALSE,1,Ganlak Kullanam (30m),Laks,39,Orta (36-40mm),Atok Prestijli
Pioneer Centre Seconds Spiced Aqua,H. Moser & Cie.,Pioneer,Ultra-Luxury,Erkek,Otomatik,Paslanmak Atelik DLC,Steel,120m,Swimming,Unknown,,Ultra-Luxury Collection,2 Yıl,72 Saat,Mavi,Kauasuk,858.000₺,3201-1205,,FALSE,7,Daiyer,Ultra Laks,42.8,Bayak (40-44mm),Ultra Prestijli
Ultra-Chron Classic,Longines,Diving,Mid-Range,Unisex,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,52 Saat,Gamaay,Krokodil,178.000₺,L2.537.4.72.2,1832,FALSE,49,Yazme (50m),Premium,37,Orta (36-40mm),Orta Prestij
Riviera,Baume & Mercier,Riviera,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,38 Saat,Gri,Paslanmaz Atelik,110.300₺,10829,1830,FALSE,45,Snorkeling (100m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Superocean Heritage B31,Breitling,Superocean Heritage,Luxury,Erkek,Otomatik,Atelik Altn,Gold,200m,Swimming,Switzerland,140,Luxury Collection,5 Yıl,78 Saat,Mavi,Kauasuk,397.800₺,UB3112161C1S1,1884,FALSE,29,Dalaay (200m),Premium,44,Bayak (40-44mm),Prestijli
Primaluna Moonphase,Longines,Elegance,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Sedef,Krokodil,152.000₺,L8.126.4.87.2,1832,FALSE,69,Ganlak Kullanam (30m),Orta Segment,34,Kaaak (<36mm),Orta Prestij
Seamaster Diver 300M,Omega,Seamaster,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,176,Ultra-Luxury Collection,5 Yıl,55 Saat,Siyah,Paslanmaz Atelik,331.700₺,210.30.42.20.01.018,1848,FALSE,59,Professyonel Dalaay (300m+),Premium,42,Bayak (40-44mm),Atok Prestijli
