name,brand,collection,price,price_category,gender,movement,case material,case_material_category,water_resistance,water_resistance_category,brand_country,brand_age,collection_price_tier,warrenty,power_reserve,dial,bracelet,PRODUCT_NAME_DETAIL,PRODUCT_PRICE_DETAIL,reference,brand_founded_year,brand_avg_price,brand_median_price,brand_price_std,brand_product_count,price_vs_brand_avg,price_percentile,price_zscore,is_price_outlier,collection_popularity,water_resistance_standardized,price_category_improved,case_diameter_numeric,case_size_category,brand_prestige_level
Luminor Marina,Panerai,Luminor,473800,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Mavi,Paslanmaz Atelik,Luminor Marina,473.800₺,PAM03323,1860,649664.06,473800,466149.7,89,-0.27069998,0.7973054,0.22395834,FALSE,37,Yazme (50m),Laks,44,Bayak (40-44mm),Atok Prestijli
Ultra-Chron Classic,Longines,Diving,183000,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,52 Saat,Gamaay,Paslanmaz Atelik,Ultra-Chron Classic,183.000₺,L2.937.4.72.6,1832,134676.78,131000,52081.965,267,0.35880885,0.5176647,-0.3022824,FALSE,49,Yazme (50m),Premium,40,Orta (36-40mm),Orta Prestij
Bvlgari Bvlgari,Bvlgari,Bvlgari Bvlgari,557000,Ultra-Luxury,Women,Pilli,Altan,Gold,30m,Splash Resistant,Italy,140,Luxury Collection,5 Yıl,,Mavi,Krokodil,Bvlgari Bvlgari,557.000₺,104191,1884,514079.38,416000,402732.22,63,0.08349029,0.84461075,0.37451965,FALSE,14,Ganlak Kullanam (30m),Laks,26,Kaaak (<36mm),Atok Prestijli
Specialities Paris 2024 Bronze Gold Edition,Omega,Diayer Koleksiyonlar,611100,Ultra-Luxury,Erkek,Elle Kurmala,Altan,Gold,30m,Splash Resistant,Switzerland,176,Ultra-Luxury Collection,5 Yıl,72 Saat,Gamaay,Deri,Specialities Paris 2024 Bronze Gold Edition,611.100₺,522.92.39.21.99.001,1848,513525.72,401600,458838.5,140,0.19000857,0.86287427,0.4724207,FALSE,1,Ganlak Kullanam (30m),Laks,39,Orta (36-40mm),Atok Prestijli
Pioneer Centre Seconds Spiced Aqua,H. Moser & Cie.,Pioneer,858000,Ultra-Luxury,Erkek,Otomatik,Paslanmak Atelik DLC,Steel,120m,Swimming,Unknown,,Ultra-Luxury Collection,2 Yıl,72 Saat,Mavi,Kauasuk,Pioneer Centre Seconds Spiced Aqua,858.000₺,3201-1205,,2.2611332e+06,1.456e+06,1.553869e+06,24,-0.62054425,0.91736525,0.9192186,FALSE,7,Daiyer,Ultra Laks,42.8,Bayak (40-44mm),Ultra Prestijli
Ultra-Chron Classic,Longines,Diving,178000,Mid-Range,Unisex,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,52 Saat,Gamaay,Krokodil,Ultra-Chron Classic,178.000₺,L2.537.4.72.2,1832,134676.78,131000,52081.965,267,0.32168293,0.50898206,-0.31133056,FALSE,49,Yazme (50m),Premium,37,Orta (36-40mm),Orta Prestij
Riviera,Baume & Mercier,Riviera,110300,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,38 Saat,Gri,Paslanmaz Atelik,Riviera,110.300₺,10829,1830,126401.04,120200,54582.965,96,-0.12738061,0.31137726,-0.4338426,FALSE,45,Snorkeling (100m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Superocean Heritage B31,Breitling,Superocean Heritage,397800,Luxury,Erkek,Otomatik,Atelik Altn,Gold,200m,Swimming,Switzerland,140,Luxury Collection,5 Yıl,78 Saat,Mavi,Kauasuk,Superocean Heritage B31,397.800₺,UB3112161C1S1,1884,344131.2,317200,114878.734,125,0.15595448,0.74311376,0.08642637,FALSE,29,Dalaay (200m),Premium,44,Bayak (40-44mm),Prestijli
Primaluna Moonphase,Longines,Elegance,152000,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Sedef,Krokodil,Primaluna Moonphase,152.000₺,L8.126.4.87.2,1832,134676.78,131000,52081.965,267,0.12862812,0.43532935,-0.35838097,FALSE,69,Ganlak Kullanam (30m),Orta Segment,34,Kaaak (<36mm),Orta Prestij
Seamaster Diver 300M,Omega,Seamaster,331700,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,176,Ultra-Luxury Collection,5 Yıl,55 Saat,Siyah,Paslanmaz Atelik,Seamaster Diver 300M,331.700₺,210.30.42.20.01.018,1848,513525.72,401600,458838.5,140,-0.35407326,0.6850299,-0.03319025,FALSE,59,Professyonel Dalaay (300m+),Premium,42,Bayak (40-44mm),Atok Prestijli
